plant_common_name,plant_scientific_name,plant_type,audubon_attributes_original,audubon_attributes_normalized,audubon_bird_groups_original,audubon_bird_group_count,audubon_resource_count,description,source_url_or_citation,evidence_source,audit_flags,matched_dashboard_id
Dotted Gayfeather,Liatris punctata,Annuals/Per.,Nectar,nectar,Hummingbirds; Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,7,1,"Dotted Gayfeather, or Dotted Blazing Star, is a purple or white, perennial herb that grows one or more erect stems up to 3 feet tall. The leaves are very narrow and grass-like, up to 4 inches long near the base of the plant, and becoming smaller as they ascend the stem. Its fruit is a small dark seed with a tuft of light brown hair to carry it off in the wind. Dotted Gayfeather grows in full sun and dry, well-drained, and sandy soils.",https://www.audubon.org/native-plants/species/dotted-gayfeather?zipcode=78666,National Audubon Society Native Plants,,CAND2525
Eastern Mock Grama,Tripsacum dactyloides,Grasses,Fruit; Nuts; Seeds,fruit; nuts; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,3,"Also known as Eastern Gamagrass and Fakahatchee Grass, this perennial grass usually grows 2 to 3 feet in height, but can grow up to 10 feet tall. At the end of its stalks, it produces separate male and female flowers, colored orange and purple. This plant grows in partial shade and moist soils. In addition to birds, it attracts butterflies as well as deer that eat the hard seeds.",https://www.audubon.org/native-plants/species/eastern-mock-grama?zipcode=78666,National Audubon Society Native Plants,,PLT0031
Eastern Red-Cedar,Juniperus virginiana,"Evergreen, Trees",Butterflies; Caterpillars; Fruit; Seeds,butterflies; caterpillars; fruit; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"Also known as Virginia Juniper, Red Juniper, Pencil Cedar, Carolina Cedar, Red Savin, and Baton Rouge, this evergreen, fragrant tree varies in color from gray-green to blue-green to light or dark green. It grows 30 to 40 feet tall typically, though it can reach up to 90 feet, with soft, silvery bark covering the single trunk. Growing in full sun to shade, and in dry soils, it is the most widely distributed eastern conifer, and is resistant to extremes of drought, heat, and cold. Pale blue fruits on female plants, combined with dense foliage make this plant excellent for birds.",https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666,National Audubon Society Native Plants,,PLT0261
Few-Leaf Sunflower,Helianthus occidentalis,Annuals/Per.,Butterflies; Caterpillars,butterflies; caterpillars,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,2,"Also known as Western Sunflower, this perennial grows large leaves that form a 4 to 8 inch tall foliage clump. The orange-yellow flowers with yellow disks bloom from mid-summer to fall on stiff flower stems that typically rise 2 to 3 feet in height. This plant grows best in full sun and a variety of dry to moist soils, tolerating poor, sandy or loamy soils, but preferring those that are well-drained.",https://www.audubon.org/native-plants/species/few-leaf-sunflower?zipcode=78666,National Audubon Society Native Plants,,CAND2099
Firewheel,Gaillardia pulchella,"Annuals/Per., Shrubs",,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/firewheel?zipcode=78666,National Audubon Society Native Plants,missing_attributes,PLT0085
Fragrant Sumac,Rhus aromatica,"Shrubs, Vines",Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",13,3,"Also known as Aromatic Sumac, Lemon Sumac, and Polecat Bush, this aromatic, deciduous, perennial shrub grows 6 to 12 feet tall. It has glossy, blue-green, toothed leaves that turn red, purple, and yellow in the fall. Yellow catkin-like flowers bloom from April to June before growing into dark-red berries that feed birds and small mammals. It is deer resistant, and grows in full sun to shade, requiring a low amount of water. It grows in a variety of dry to moist soils, including sandy, rocky, loam, clay, and limestone soils.",https://www.audubon.org/native-plants/species/fragrant-sumac?zipcode=78666,National Audubon Society Native Plants,,PLT0203
Gray Goldenrod,Solidago nemoralis,Annuals/Per.,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Mockingbirds and Thrashers; Nuthatches; Blackbirds and Orioles; New World Sparrows; Thrushes; Vireos; Waxwings; Wood Warblers; Woodpeckers; Wrens",14,4,"This perennial, deciduous plant is also called Prairie, Oldfield, Grayleaf, Dyersweed, Dwarf, or Field Goldenrod. One of the smallest species of goldenrod, it grows to about 2 feet in height, producing bright yellow flower heads from August to November. This herb is moderately deer-resistant and grows in full sun to shade, in dry sandy, rocky, and clay soils.",https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666,National Audubon Society Native Plants,,PLT0155
Green Antelope-Horn,Asclepias viridis,Annuals/Per.,,,Mockingbirds and Thrashers; Blackbirds and Orioles; New World Sparrows; Vireos; Waxwings; Wood Warblers,6,0,,https://www.audubon.org/native-plants/species/green-antelope-horn?zipcode=78666,National Audubon Society Native Plants,missing_attributes,PLT0046
Hairawn Muhly,Muhlenbergia capillaris,Grasses,Seeds,seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,1,"Also known as Hairy-awn Muhly, Hair Grass, and Pink Muhly, this perennial grass grows to 3 by 3 feet in size. Its wiry, thread-like, dark green leaves and stems form an attractive basal clump, producing masses of airy, loosely branched, pink to pinkish-red inflorescences, each up to 1 foot long. It is highly deer resistant, and grows in full sun, and in dry to moist soils, which can be sandy, rocky, or clayey.",https://www.audubon.org/native-plants/species/hairawn-muhly?zipcode=78666,National Audubon Society Native Plants,,AUD0001
Indian Wood-Oats,Chasmanthium latifolium,Grasses,Fruit; Nuts; Seeds,fruit; nuts; seeds,"Cardinals, Grosbeaks and Buntings; Chickadees and Titmice; Crows, Magpies, Jays; Finches; Nuthatches; New World Sparrows; Woodpeckers",7,3,"Also called River, Flathead, Upland, and Inland Sea Oats, this is an attractive, highly shade-tolerant grass that grows 2 to 4 feet tall and forms drooping oat clusters during the summer. Its foliage and seeds ripen from green to golden-brown in the fall, the seeds persisting into winter. Naturally occurring in stream beds and edges, it tolerates drought and periodic inundation, but grows best in partial shade and moist sands, loams, and clays.",https://www.audubon.org/native-plants/species/indian-wood-oats?zipcode=78666,National Audubon Society Native Plants,,PLT0013
