interaction_record_id,plant_name,rank,mapped_count,mapped_ids,weight,action
MOT_PLANT_0165,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0166,Cercocarpus montanus complex,species_complex,1,MAMMALPLT0003,0.375,hold_region_review
MOT_PLANT_0167,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0168,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0169,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0170,herbaceous forb functional group,functional_group,1,MAMMALPLT0001,0.12,import_functional_group
MOT_PLANT_0171,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0172,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0173,Opuntia engelmannii complex,species_complex,2,PLT0238|CAND3022,0.375,direct_import_species_review
MOT_PLANT_0174,Cactaceae / Cylindropuntia spp.,family_genus_group,1,CAND0725,0.165,import_genus_or_group_only
MOT_PLANT_0175,Agave lechuguilla,species,1,CAND0129,0.562,hold_region_review
MOT_PLANT_0176,Dasylirion texanum / Dasylirion spp.,species_or_genus,1,PLT0233,0.315,direct_import_species_review
MOT_PLANT_0177,Opuntia engelmannii complex,species_complex,2,PLT0238|CAND3022,0.375,direct_import_species_review
MOT_PLANT_0178,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0179,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0180,Cyperaceae / Carex-Cyperus-Eleocharis spp.,family/genus_group,1,CAND1357,0.165,import_functional_group
MOT_PLANT_0181,Bacopa spp.,genus,1,CAND0536,0.27,import_genus_or_review_species
MOT_PLANT_0182,Hydrocotyle spp.,genus,1,PLT0098,0.27,import_genus_or_review_species
MOT_PLANT_0183,Phyla nodiflora,species,1,PLT0125,0.562,direct_import_species
MOT_PLANT_0184,Centella erecta / Hydrocotyle spp.,species_or_genus,1,PLT0098,0.315,hold_review
MOT_PLANT_0185,Allium spp.,genus,1,CAND0158,0.27,import_genus_or_review_species
MOT_PLANT_0186,Schoenoplectus / Scirpus spp.,genus_group,1,CAND4157,0.21,import_genus_or_group_only
MOT_PLANT_0187,Typha spp.,genus,1,CAND4755,0.27,import_genus_or_group_only
MOT_PLANT_0192,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0193,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0194,Prunus spp.,genus,5,PLT0271|PLT0270|PLT0216|PLT0269|PLT0272,0.211,import_genus_or_review_species
MOT_PLANT_0195,Toxicodendron pubescens,species,1,CAND4672,0.562,direct_import_species_review
MOT_PLANT_0197,Pinus spp.,genus,1,CAND3281,0.27,hold_region_review
MOT_PLANT_0198,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0199,Trifolium spp.,genus,1,CAND4714,0.27,hold_review
MOT_PLANT_0200,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0201,Potamogetonaceae / Potamogeton spp.,family/genus_group,1,MAMMALPLT0004,0.165,import_genus_or_group_only
MOT_PLANT_0203,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0204,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0205,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0207,Diospyros texana / Diospyros virginiana,species_pair,2,PLT0252|PLT0253,0.39,direct_import_species_review
MOT_PLANT_0208,Ilex vomitoria,species,1,PLT0214,0.562,direct_import_species
MOT_PLANT_0209,Ilex decidua,species,1,PLT0213,0.562,direct_import_species
MOT_PLANT_0210,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.211,import_genus_or_review_species
MOT_PLANT_0211,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0212,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
