plant_scientific_name,plant_common_name,plant_type,evidence_source,source_url_or_citation,audubon_attributes_original,audubon_attributes_normalized,resource_original,resource_normalized,resource_claim_type,direct_bird_interaction
Ilex decidua,Deciduous Holly,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/deciduous-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Ilex decidua,Deciduous Holly,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/deciduous-holly?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Liatris punctata,Dotted Gayfeather,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/dotted-gayfeather?zipcode=78666,Nectar,nectar,Nectar,nectar,plant-level Audubon attribute,False
Tripsacum dactyloides,Eastern Mock Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-mock-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Fruit,fruit,plant-level Audubon attribute,False
Tripsacum dactyloides,Eastern Mock Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-mock-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Nuts,nuts,plant-level Audubon attribute,False
Tripsacum dactyloides,Eastern Mock Grama,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-mock-grama?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Seeds,seeds,plant-level Audubon attribute,False
Juniperus virginiana,Eastern Red-Cedar,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666,Butterflies; Caterpillars; Fruit; Seeds,butterflies; caterpillars; fruit; seeds,Butterflies,butterflies,plant-level Audubon attribute,False
Juniperus virginiana,Eastern Red-Cedar,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666,Butterflies; Caterpillars; Fruit; Seeds,butterflies; caterpillars; fruit; seeds,Caterpillars,caterpillars,plant-level Audubon attribute,False
Juniperus virginiana,Eastern Red-Cedar,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666,Butterflies; Caterpillars; Fruit; Seeds,butterflies; caterpillars; fruit; seeds,Fruit,fruit,plant-level Audubon attribute,False
Juniperus virginiana,Eastern Red-Cedar,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/eastern-red-cedar?zipcode=78666,Butterflies; Caterpillars; Fruit; Seeds,butterflies; caterpillars; fruit; seeds,Seeds,seeds,plant-level Audubon attribute,False
Helianthus occidentalis,Few-Leaf Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/few-leaf-sunflower?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Butterflies,butterflies,plant-level Audubon attribute,False
Helianthus occidentalis,Few-Leaf Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/few-leaf-sunflower?zipcode=78666,Butterflies; Caterpillars,butterflies; caterpillars,Caterpillars,caterpillars,plant-level Audubon attribute,False
